age,Age class,icd10,International Statistical Classification of Diseases and Related Health Problems (ICD-10),TIME_PERIOD,Time,OBS_VALUE
Y35-39,From 35 to 39 years,C32,Malignant neoplasm of larynx,2021,,0.06
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2011,,1.86
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2012,,2
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2013,,1.44
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2014,,2.01
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2015,,1.77
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2016,,1.2
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2017,,1.31
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2018,,1.88
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2019,,1.48
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2020,,1.48
Y35-39,From 35 to 39 years,C33_C34,"Malignant neoplasm of trachea, bronchus and lung",2021,,1.22
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2011,,0.57
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2012,,0.57
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2013,,0.67
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2014,,0.39
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2015,,0.76
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2016,,0.68
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2017,,0.71
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2018,,0.85
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2019,,0.59
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2020,,0.55
Y35-39,From 35 to 39 years,C43,Malignant melanoma of skin,2021,,0.19
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2011,,0
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2012,,0.1
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2013,,0.05
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2014,,0.1
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2015,,0.05
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2016,,0
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2017,,0
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2018,,0
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2019,,0
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2020,,0
Y35-39,From 35 to 39 years,C50,Malignant neoplasm of breast,2021,,0.06
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2011,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2012,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2013,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2014,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2015,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2016,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2017,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2018,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2019,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2020,,0
Y35-39,From 35 to 39 years,C53,Malignant neoplasm of cervix uteri,2021,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2011,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2012,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2013,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2014,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2015,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2016,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2017,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2018,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2019,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2020,,0
Y35-39,From 35 to 39 years,C54_C55,Malignant neoplasm of other parts of uterus,2021,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2011,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2012,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2013,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2014,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2015,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2016,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2017,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2018,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2019,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2020,,0
Y35-39,From 35 to 39 years,C56,Malignant neoplasm of ovary,2021,,0
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2011,,0
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2012,,0.05
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2013,,0
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2014,,0
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2015,,0.05
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2016,,0.05
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2017,,0
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2018,,0.06
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2019,,0
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2020,,0.06
Y35-39,From 35 to 39 years,C61,Malignant neoplasm of prostate,2021,,0
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2011,,0.57
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2012,,0.67
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2013,,0.39
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2014,,0.44
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2015,,0.56
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2016,,0.37
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2017,,0.38
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2018,,0.51
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2019,,0.53
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2020,,0.43
Y35-39,From 35 to 39 years,C64,"Malignant neoplasm of kidney, except renal pelvis",2021,,0.77
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2011,,0.19
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2012,,0.24
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2013,,0.14
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2014,,0.1
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2015,,0.05
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2016,,0.05
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2017,,0.16
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2018,,0
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2019,,0.12
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2020,,0.18
Y35-39,From 35 to 39 years,C67,Malignant neoplasm of bladder,2021,,0.06
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2011,,2.76
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2012,,2.09
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2013,,2.21
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2014,,1.96
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2015,,2.32
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2016,,1.72
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2017,,2.07
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2018,,2.16
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2019,,2.37
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2020,,1.73
Y35-39,From 35 to 39 years,C70-C72,Malignant neoplasm of brain and central nervous system,2021,,2.25
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2011,,0.05
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2012,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2013,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2014,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2015,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2016,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2017,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2018,,0
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2019,,0.12
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2020,,0.06
Y35-39,From 35 to 39 years,C73,Malignant neoplasm of thyroid gland,2021,,0
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2011,,1.1
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2012,,1.14
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2013,,0.72
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2014,,0.88
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2015,,1.36
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2016,,0.63
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2017,,0.87
Y35-39,From 35 to 39 years,C81-C86,Hodgkin disease and lymphomas,2018,,0.91
